ID,stockNumber,department_ID,min,max,target,quantity,baseUnit,product_ID
2e37b370-f4ae-4cb7-ba7a-ae74c14af498,10000000001,ab5c9e8d-7f2a-4b3c-b6d1-3a7e5f9c2b4d,0,500,260,436.55,EA,21f78051-061f-4cc4-ad32-62c58311b70d
6e8c9504-fa95-4f35-95cb-6370896a3f74,10000000002,e6f1d2c3-9a5b-4e8d-7c3a-2b4f9e7d5c1a,0,500,500,4665.93,EA,21f78051-061f-4cc4-ad32-62c58311b70d
bdfbe124-f6f9-4916-a69e-a049f0c2113b,10000000003,c5e9d2a3-4b7f-4e8c-9a1d-2f6b3e7c5a9d,0,500,226,344.29,EA,21f78051-061f-4cc4-ad32-62c58311b70d
9e64b986-0ec0-4262-96e2-05d5d217a1f2,10000000004,b7e5c2d9-4a3b-4f8e-9c1d-2f6a7e5b3c9d,0,500,269,3313.91,EA,21f78051-061f-4cc4-ad32-62c58311b70d
afb15066-5bbf-483e-bdd6-31e635d33b7d,10000000005,d2f3e1b9-5a4c-4d7e-8b1c-6a9f2c5e3b7d,0,500,396,2231.87,EA,21f78051-061f-4cc4-ad32-62c58311b70d
cd9db2cf-7888-4b31-89d4-6855d05f8104,10000000006,c5e9d2a3-4b7f-4e8c-9a1d-2f6b3e7c5a9d,0,500,20,635.56,EA,21f78051-061f-4cc4-ad32-62c58311b70d
7dfc1920-544c-4f1d-821f-89a8fc13a686,10000000007,b6c2e9a3-4d5f-4e8b-7c1a-3f9d7e5b2c4a,0,500,216,4796.75,EA,21f78051-061f-4cc4-ad32-62c58311b70d
ef63b0f2-3283-44ee-a287-31e0c8a0ba36,10000000008,b6c2e9a3-4d5f-4e8b-7c1a-3f9d7e5b2c4a,0,500,406,116.64,EA,21f78051-061f-4cc4-ad32-62c58311b70d
7821f041-a47f-4456-8f94-7e9ea7a8724a,10000000009,ab5c9e8d-7f2a-4b3c-b6d1-3a7e5f9c2b4d,0,500,13,3828.14,EA,21f78051-061f-4cc4-ad32-62c58311b70d
410f8b66-f9c6-40f1-bd93-acdd81a1755a,10000000010,e1f9d3b2-6a5c-4d7e-8b3a-5c2f7e9a4d1b,0,500,229,3992.26,EA,21f78051-061f-4cc4-ad32-62c58311b70d
12957778-53d1-4d59-8d67-26cbb1fedb19,10000000011,b6c2e9a3-4d5f-4e8b-7c1a-3f9d7e5b2c4a,0,500,383,2908.89,EA,21f78051-061f-4cc4-ad32-62c58311b70d
f91a4277-4236-46ce-bf30-cf763c8dd360,10000000012,e1f9d3b2-6a5c-4d7e-8b3a-5c2f7e9a4d1b,0,500,418,3232.25,EA,21f78051-061f-4cc4-ad32-62c58311b70d
50de5721-9788-4efb-82b6-da957e906130,10000000013,c4b7e9d3-2a5f-4c8e-9d1b-6f2a7c5e3d9b,0,500,373,3477.45,EA,21f78051-061f-4cc4-ad32-62c58311b70d
